	f1-score	precision	recall	support
1.0	0.9466237942122186	0.9019607843137255	0.9959404600811907	739.0
2.0	0.9041450777202072	0.9858757062146892	0.8349282296650717	1254.0
3.0	0.9350237717908082	0.91995841995842	0.9505907626208379	931.0
4.0	0.9584411105362994	0.9795558688755728	0.9382174206617151	2962.0
5.0	0.9033877038895859	0.8307692307692308	0.9899175068744271	1091.0
accuracy	0.9355023649132865	0.9355023649132865	0.9355023649132865	0.9355023649132865
macro avg	0.9295242916298239	0.9236240020263276	0.9419188759806485	6977.0
weighted avg	0.9356970900492001	0.9412544300646452	0.9355023649132865	6977.0
