	f1-score	precision	recall	support
1.0	0.9966193373901284	0.995945945945946	0.9972936400541272	739.0
2.0	0.9856687898089173	0.9841017488076311	0.9872408293460925	1254.0
3.0	0.9632473944048271	0.984304932735426	0.9430719656283566	931.0
4.0	0.984894259818731	0.979305740987984	0.9905469277515192	2962.0
5.0	0.9899175068744271	0.9899175068744271	0.9899175068744271	1091.0
accuracy	0.9842339114232478	0.9842339114232478	0.9842339114232478	0.9842339114232478
macro avg	0.9840694576594062	0.986715175070283	0.9816141739309046	6977.0
weighted avg	0.9841723483625717	0.9842567212615614	0.9842339114232478	6977.0
