	f1-score	precision	recall	support
1.0	0.9986468200270636	0.9986468200270636	0.9986468200270636	739.0
2.0	0.9968	1.0	0.9936204146730463	1254.0
3.0	0.9794594594594593	0.985854189336235	0.9731471535982814	931.0
4.0	0.9924229668294325	0.9899227410144441	0.9949358541525996	2962.0
5.0	0.9940557841792409	0.9917883211678832	0.9963336388634281	1091.0
accuracy	0.9924036118675649	0.9924036118675649	0.9924036118675649	0.9924036118675649
macro avg	0.9922770060990393	0.9932424143091252	0.991336776262884	6977.0
weighted avg	0.9923943879955692	0.9924068320984634	0.9924036118675649	6977.0
