	f1-score	precision	recall	support
1.0	0.9917012448132779	1.0	0.9835390946502057	243.0
2.0	0.9515669515669516	0.9910979228486647	0.915068493150685	365.0
3.0	0.9948186528497409	0.9896907216494846	1.0	384.0
4.0	0.9986168741355463	0.9972375690607734	1.0	361.0
5.0	0.9690501600853788	0.941908713692946	0.9978021978021978	455.0
accuracy	0.9800884955752213	0.9800884955752213	0.9800884955752213	0.9800884955752213
macro avg	0.981150776690179	0.9839869854503738	0.9792819571206177	1808.0
weighted avg	0.9799414916524579	0.9808424812579615	0.9800884955752213	1808.0
