	f1-score	precision	recall	support
1.0	0.9973333333333333	1.0	0.9946808510638298	188.0
2.0	0.9979605710401087	1.0	0.9959294436906377	737.0
3.0	0.9613034623217922	0.979253112033195	0.944	500.0
4.0	0.9909530822638333	0.9870075440067058	0.9949302915082383	2367.0
5.0	0.9947089947089948	0.9915611814345991	0.9978768577494692	471.0
accuracy	0.9894440534834623	0.9894440534834623	0.9894440534834623	0.9894440534834623
macro avg	0.9884518887336124	0.9915643674949	0.985483488802435	4263.0
weighted avg	0.9893833499672888	0.9894202977096332	0.9894440534834623	4263.0
