	f1-score	precision	recall	support
1.0	0.5962264150943396	0.4647058823529412	0.8315789473684211	190.0
2.0	0.7517509727626459	0.8797814207650273	0.65625	736.0
3.0	0.7545787545787545	0.9778481012658228	0.614314115308151	503.0
4.0	0.910123757354433	0.8584003061615002	0.9684801381692574	2316.0
5.0	0.8373151308304891	0.913151364764268	0.773109243697479	476.0
accuracy	0.84363894811656	0.84363894811656	0.84363894811656	0.84363894811656
macro avg	0.7699990061241324	0.8187774150619118	0.7687464889086617	4221.0
weighted avg	0.8416331373329838	0.8648154458575347	0.84363894811656	4221.0
