	f1-score	precision	recall	support
1.0	0.0	0.0	0.0	243.0
2.0	0.6607142857142858	0.7231270358306189	0.6082191780821918	365.0
3.0	0.7561697926949654	0.6089030206677265	0.9973958333333334	384.0
4.0	0.549738219895288	0.5210918114143921	0.5817174515235457	361.0
5.0	0.6091703056768559	0.6052060737527115	0.6131868131868132	455.0
accuracy	0.6050884955752213	0.6050884955752213	0.6050884955752213	0.6050884955752213
macro avg	0.515158520796279	0.49166558833308976	0.5601038552251768	1808.0
weighted avg	0.5570563612531799	0.531660970958331	0.6050884955752213	1808.0
