	f1-score	precision	recall	support
1.0	0.0	0.0	0.0	248.0
2.0	0.43617021276595735	0.2789115646258503	1.0	369.0
3.0	0.9359477124183005	1.0	0.8796068796068796	407.0
4.0	0.009070294784580499	1.0	0.004555808656036446	439.0
5.0	0.28181818181818186	0.42272727272727273	0.21136363636363636	440.0
accuracy	0.4319495533368366	0.4319495533368366	0.4319495533368366	0.4319495533368366
macro avg	0.33260128035740405	0.5403277674706246	0.4191052649253105	1903.0
weighted avg	0.3520017797558158	0.5963837978701728	0.4319495533368366	1903.0
