	f1-score	precision	recall	support
1.0	0.0	0.0	0.0	314.0
2.0	0.32134831460674157	0.19143239625167335	1.0	143.0
3.0	1.0	1.0	1.0	8.0
4.0	0.4357976653696498	1.0	0.27860696517412936	201.0
5.0	0.0	0.0	0.0	145.0
accuracy	0.25524044389642414	0.25524044389642414	0.25524044389642414	0.25524044389642414
macro avg	0.3514291959952783	0.4382864792503346	0.4557213930348259	811.0
weighted avg	0.17453531409132386	0.2914609527299498	0.25524044389642414	811.0
