	f1-score	precision	recall	support
1.0	0.9973333333333333	1.0	0.9946808510638298	188.0
2.0	0.9959294436906377	0.9959294436906377	0.9959294436906377	737.0
3.0	0.9451913133402275	0.9785867237687366	0.914	500.0
4.0	0.9865884325230512	0.9787941787941788	0.9945078158005914	2367.0
5.0	0.9893390191897655	0.9935760171306209	0.9851380042462845	471.0
accuracy	0.9842833685198217	0.9842833685198217	0.9842833685198217	0.9842833685198217
macro avg	0.982876308415403	0.9893772726768347	0.9768512229602686	4263.0
weighted avg	0.9841256910995124	0.9843006068868665	0.9842833685198217	4263.0
