	f1-score	precision	recall	support
1.0	1.0	1.0	1.0	190.0
2.0	0.9226901319924576	0.8584795321637427	0.9972826086956522	736.0
3.0	0.8760907504363002	0.7807153965785381	0.9980119284294234	503.0
4.0	0.9532163742690057	0.9948356807511737	0.9149395509499136	2316.0
5.0	0.9169510807736063	1.0	0.8466386554621849	476.0
accuracy	0.9353233830845771	0.9353233830845771	0.9353233830845771	0.9353233830845771
macro avg	0.9337896674942741	0.9268061218986909	0.9513745487074349	4221.0
weighted avg	0.9367191238737649	0.9463587341320155	0.9353233830845771	4221.0
