	f1-score	precision	recall	support
1.0	0.6570605187319885	0.7261146496815286	0.6	190.0
2.0	0.34246947082767976	0.21397083757205831	0.8573369565217391	736.0
3.0	0.6375838926174496	0.7289002557544757	0.5666003976143141	503.0
4.0	0.1323859386686612	0.49441340782122906	0.07642487046632124	2316.0
5.0	0.8693586698337293	1.0	0.7689075630252101	476.0
accuracy	0.3726605069888652	0.3726605069888652	0.3726605069888652	0.3726605069888652
macro avg	0.5277716981359017	0.6326798301658584	0.5738539575255168	4221.0
weighted avg	0.33594510492118024	0.5409008768185248	0.3726605069888652	4221.0
