	f1-score	precision	recall	support
1.0	0.0	0.0	0.0	314.0
2.0	0.7399463806970508	0.6	0.965034965034965	143.0
3.0	0.6956521739130436	0.5333333333333333	1.0	8.0
4.0	0.732919254658385	0.9752066115702479	0.5870646766169154	201.0
5.0	0.3288135593220338	0.21797752808988763	0.6689655172413793	145.0
accuracy	0.44512946979038226	0.44512946979038226	0.44512946979038226	0.44512946979038226
macro avg	0.49946627371810265	0.46530349459869375	0.644213031778652	811.0
weighted avg	0.3777710063119764	0.39172618639373646	0.44512946979038226	811.0
