	f1-score	precision	recall	support
1.0	0.0	0.0	0.0	188.0
2.0	0.8369926813040587	0.8211488250652742	0.8534599728629579	737.0
3.0	0.8274021352313168	0.7451923076923077	0.93	500.0
4.0	0.913062862238074	0.9664936290703162	0.8652302492606675	2367.0
5.0	0.7689795918367348	0.6246684350132626	1.0	471.0
accuracy	0.847525216983345	0.847525216983345	0.847525216983345	0.847525216983345
macro avg	0.6692874541220368	0.6315006393682321	0.7297380444247251	4263.0
weighted avg	0.8336790655428976	0.8350204294674985	0.847525216983345	4263.0
