	f1-score	precision	recall	support
1.0	0.9959514170040485	1.0	0.9919354838709677	248.0
2.0	0.9822161422708617	0.9917127071823204	0.9728997289972899	369.0
3.0	0.993849938499385	0.9950738916256158	0.9926289926289926	407.0
4.0	0.996594778660613	0.9932126696832579	1.0	439.0
5.0	0.9853438556933484	0.9776286353467561	0.9931818181818182	440.0
accuracy	0.9905412506568576	0.9905412506568576	0.9905412506568576	0.9905412506568576
macro avg	0.9907912264256513	0.99152558076759	0.9901292047358137	1903.0
weighted avg	0.990534438897154	0.9906011688835654	0.9905412506568576	1903.0
