	f1-score	precision	recall	support
1.0	0.9979381443298969	1.0	0.9958847736625515	243.0
2.0	0.9266862170087976	0.9968454258675079	0.8657534246575342	365.0
3.0	0.9986996098829649	0.9974025974025974	1.0	384.0
4.0	0.993103448275862	0.989010989010989	0.997229916897507	361.0
5.0	0.9528795811518325	0.91	1.0	455.0
accuracy	0.9717920353982301	0.9717920353982301	0.9717920353982301	0.9717920353982301
macro avg	0.9738614001298709	0.9786518024562187	0.9717736230435186	1808.0
weighted avg	0.9714107537207438	0.9739680004851796	0.9717920353982301	1808.0
