	f1-score	precision	recall	support
1.0	0.0	0.0	0.0	248.0
2.0	0.4638592080452546	0.3019639934533552	1.0	369.0
3.0	0.9197452229299362	0.955026455026455	0.8869778869778869	407.0
4.0	0.58678955453149	0.9009433962264151	0.43507972665148065	439.0
5.0	0.0	0.0	0.0	440.0
accuracy	0.4839726747241198	0.4839726747241198	0.4839726747241198	0.4839726747241198
macro avg	0.39407879710133614	0.43158676894124504	0.46441152272587355	1903.0
weighted avg	0.4220183751657946	0.4706435269172104	0.4839726747241198	1903.0
