	f1-score	precision	recall	support
1.0	0.608955223880597	0.5730337078651685	0.6496815286624203	314.0
2.0	0.5446428571428571	0.4	0.8531468531468531	143.0
3.0	0.45714285714285713	0.2962962962962963	1.0	8.0
4.0	0.4714828897338403	1.0	0.30845771144278605	201.0
5.0	0.06796116504854369	0.11475409836065574	0.04827586206896552	145.0
accuracy	0.4969173859432799	0.4969173859432799	0.4969173859432799	0.4969173859432799
macro avg	0.43003699858973904	0.47681682050442414	0.571912391064205	811.0
weighted avg	0.46532113624614	0.5636773106070634	0.4969173859432799	811.0
