	f1-score	precision	recall	support
1.0	0.9984051036682616	1.0	0.9968152866242038	314.0
2.0	0.9712230215827338	1.0	0.9440559440559441	143.0
3.0	1.0	1.0	1.0	8.0
4.0	0.9804878048780488	0.9617224880382775	1.0	201.0
5.0	0.9690721649484535	0.9657534246575342	0.9724137931034482	145.0
accuracy	0.9839704069050554	0.9839704069050554	0.9839704069050554	0.9839704069050554
macro avg	0.9838376190154996	0.9854951825391624	0.9826570047567191	811.0
weighted avg	0.9839427957289502	0.9843902178434478	0.9839704069050554	811.0
