	f1-score	precision	recall	support
1.0	0.0	0.0	0.0	248.0
2.0	0.019718309859154928	0.020527859237536656	0.018970189701897018	369.0
3.0	0.11872146118721462	0.8387096774193549	0.06388206388206388	407.0
4.0	0.5006002400960384	0.33985330073349634	0.9498861047835991	439.0
5.0	0.0065466448445171835	0.011695906432748537	0.004545454545454545	440.0
accuracy	0.2375197057277982	0.2375197057277982	0.2375197057277982	0.2375197057277982
macro avg	0.12911733119738503	0.2421573487646273	0.20745676258260293	1903.0
weighted avg	0.1462110983578418	0.2644621211879888	0.2375197057277982	1903.0
