	f1-score	precision	recall	support
1.0	0.5260196905766527	0.3575525812619503	0.9946808510638298	188.0
2.0	0.5647517039922103	1.0	0.39348710990502034	737.0
3.0	0.44961240310077516	1.0	0.29	500.0
4.0	0.8685736374178585	0.800498753117207	0.9493029150823827	2367.0
5.0	0.6130030959752322	0.5963855421686747	0.6305732484076433	471.0
accuracy	0.7426694815857378	0.7426694815857378	0.7426694815857378	0.7426694815857378
macro avg	0.6043921062125458	0.7508873753095664	0.6516088248917752	4263.0
weighted avg	0.7235651342231909	0.8163026094926394	0.7426694815857378	4263.0
